"","group","Var1","Var2","r","adj.p","n","significant","label"
"106","GBM","SBS2","Signature 2",0,0.666666666666667,3,0,"GBM 
 (n=3)"
"107","GBM","SBS3","Signature 2",0,1,0,NA,"GBM 
 (n=0)"
"108","GBM","SBS4","Signature 2",0,1,0,NA,"GBM 
 (n=0)"
"109","GBM","SBS13","Signature 2",0,1,1,NA,"GBM 
 (n=1)"
"110","GBM","SBS15","Signature 2",0,1,2,NA,"GBM 
 (n=2)"
"111","GBM","SBS20","Signature 2",0,1,0,NA,"GBM 
 (n=0)"
"112","GBM","SBS44","Signature 2",0,1,0,NA,"GBM 
 (n=0)"
"113","GBM","SBS1","Signature 3",0.09,0.454961011641328,194,0,"GBM 
 (n=194)"
"114","GBM","SBS2","Signature 3",0,0.666666666666667,3,0,"GBM 
 (n=3)"
"115","GBM","SBS3","Signature 3",0,1,0,NA,"GBM 
 (n=0)"
"116","GBM","SBS4","Signature 3",0,1,0,NA,"GBM 
 (n=0)"
"117","GBM","SBS13","Signature 3",0,1,2,NA,"GBM 
 (n=2)"
"118","GBM","SBS15","Signature 3",0,0.666666666666667,3,0,"GBM 
 (n=3)"
"119","GBM","SBS20","Signature 3",0,1,0,NA,"GBM 
 (n=0)"
"120","GBM","SBS44","Signature 3",0,1,0,NA,"GBM 
 (n=0)"
"121","GBM","SBS1","Signature 4",0.56,1.58427866668169e-20,236,1,"GBM 
 (n=236)"
"122","GBM","SBS2","Signature 4",0,0,3,1,"GBM 
 (n=3)"
"123","GBM","SBS3","Signature 4",0,1,0,NA,"GBM 
 (n=0)"
"124","GBM","SBS4","Signature 4",0,1,0,NA,"GBM 
 (n=0)"
"125","GBM","SBS13","Signature 4",0,1,2,NA,"GBM 
 (n=2)"
"126","GBM","SBS15","Signature 4",0,1,2,NA,"GBM 
 (n=2)"
"127","GBM","SBS20","Signature 4",0,1,0,NA,"GBM 
 (n=0)"
"128","GBM","SBS44","Signature 4",0,1,0,NA,"GBM 
 (n=0)"
"129","HNSC","SBS1","Signature 1",-0.03,0.8,121,0,"HNSC 
 (n=121)"
"130","HNSC","SBS2","Signature 1",0.24,0.0485078168057885,89,1,"HNSC 
 (n=89)"
"131","HNSC","SBS3","Signature 1",0,1,0,NA,"HNSC 
 (n=0)"
"132","HNSC","SBS4","Signature 1",0,0.8,4,0,"HNSC 
 (n=4)"
"133","HNSC","SBS13","Signature 1",0.16,0.179310631545244,91,0,"HNSC 
 (n=91)"
"134","HNSC","SBS15","Signature 1",0,1,2,NA,"HNSC 
 (n=2)"
"135","HNSC","SBS20","Signature 1",0,1,0,NA,"HNSC 
 (n=0)"
"136","HNSC","SBS44","Signature 1",0,1,2,NA,"HNSC 
 (n=2)"
"137","HNSC","SBS1","Signature 2",0.04,0.75,189,0,"HNSC 
 (n=189)"
"138","HNSC","SBS2","Signature 2",0.24,0.00912404897297867,142,1,"HNSC 
 (n=142)"
"139","HNSC","SBS3","Signature 2",0,1,0,NA,"HNSC 
 (n=0)"
"140","HNSC","SBS4","Signature 2",0,0.75,3,0,"HNSC 
 (n=3)"
"141","HNSC","SBS13","Signature 2",0.29,0.00129244909629507,143,1,"HNSC 
 (n=143)"
"142","HNSC","SBS15","Signature 2",0,0.75,3,0,"HNSC 
 (n=3)"
"143","HNSC","SBS20","Signature 2",0,1,0,NA,"HNSC 
 (n=0)"
"144","HNSC","SBS44","Signature 2",0,1,2,NA,"HNSC 
 (n=2)"
"145","HNSC","SBS1","Signature 3",0.13,0.0771705836625555,238,0,"HNSC 
 (n=238)"
"146","HNSC","SBS2","Signature 3",0.57,3.35360266125905e-15,178,1,"HNSC 
 (n=178)"
"147","HNSC","SBS3","Signature 3",0,1,0,NA,"HNSC 
 (n=0)"
